terms,count
last year,42
new york,42
right now,39
dont know,32
look like,31
year ago,31
make sure,30
last week,28
feel like,24
im go,20
first time,19
last night,19
food food,18
go back,18
st loui,18
everi time,17
high school,17
im sure,17
look forward,17
one day,17
come back,16
new jersey,16
cant wait,15
dont think,15
last month,14
one thing,14
two year,14
unite state,14
’ just,13
can say,13
can see,13
next week,13
said “,13
will take,13
let know,12
long time,12
realli want,12
sound like,12
three year,12
year old,12
back home,11
even though,11
everi day,11
famili member,11
just want,11
let us,11
next year,11
realli good,11
san diego,11
school district,11
take place,11
can make,10
everi year,10
good thing,10
ice cream,10
just like,10
let go,10
los angele,10
new year,10
onli one,10
thank follow,10
two week,10
can onli,9
doe mean,9
felt like,9
follow back,9
ive got,9
just becaus,9
just need,9
just saw,9
know whi,9
littl bit,9
mani peopl,9
polic offic,9
said one,9
someon els,9
tri get,9
veri much,9
want get,9
will make,9
work hard,9
year later,9
best friend,8
can get,8
can help,8
civil war,8
don’t know,8
dont like,8
even better,8
execut director,8
get better,8
go get,8
great day,8
im readi,8
just got,8
kansa citi,8
month ago,8
onli thing,8
san francisco,8
san jose,8
seem like,8
social media,8
social network,8
thing happen,8
want go,8
want make,8
will go,8
will see,8
’d like,7
ask question,7
can take,7
charter school,7
dont even,7
dont get,7
feder govern,7
get back,7
go happen,7
groceri store,7
hate hate,7
help us,7
im just,7
just say,7
last day,7
leav comment,7
let get,7
like one,7
love one,7
make sens,7
much easier,7
one favorit,7
one point,7
one time,7
polic depart,7
preheat oven,7
presid obama,7
pretti good,7
pretti much,7
readi go,7
real estat,7
six month,7
south carolina,7
stay tune,7
take advantag,7
take time,7
tri keep,7
tv show,7
two day,7
veri good,7
veri well,7
week ago,7
will get,7
will help,7
will never,7
will play,7
’m go,6
’m will,6
also like,6
answer question,6
around world,6
back work,6
barack obama,6
bring back,6
came across,6
can add,6
can count,6
can find,6
citi council,6
day will,6
dont need,6
end day,6
ever seen,6
ever sinc,6
five year,6
get involv,6
good time,6
got new,6
head coach,6
im gonna,6
ive seen,6
just case,6
just found,6
know ’m,6
late night,6
least one,6
love much,6
make way,6
mayb even,6
next day,6
now im,6
now will,6
ohio state,6
one two,6
one year,6
pass away,6
past year,6
peopl can,6
peopl will,6
plead guilti,6
polic said,6
polic station,6
said now,6
take pictur,6
tax break,6
th centuri,6
three time,6
veri littl,6
wait see,6
way back,6
white hous,6
will pay,6
will provid,6
will say,6
youv got,6
’ realli,5
air forc,5
also known,5
among thing,5
attorney general,5
author said,5
bad thing,5
becaus one,5
big east,5
came back,5
can use,5
cant make,5
day befor,5
day day,5
declin comment,5
didnt want,5
doesnt matter,5
don’t go,5
don’t think,5
dont want,5
essex counti,5
feel good,5
forget ’,5
four year,5
free throw,5
friday night,5
get go,5
get readi,5
get see,5
go around,5
go home,5
go see,5
good day,5
good luck,5
good morn,5
great time,5
happi birthday,5
happi hour,5
happi new,5
health care,5
health insur,5
help get,5
home run,5
hope will,5
im look,5
just get,5
just know,5
just one,5
just pig,5
know ’,5
lack mean,5
last season,5
life lack,5
like play,5
love dont,5
love get,5
made way,5
main charact,5
make decis,5
make differ,5
mean life,5
michigan state,5
much time,5
near everi,5
never realli,5
new book,5
new level,5
next month,5
next time,5
noth like,5
now can,5
number one,5
one best,5
one biggest,5
one first,5
one person,5
orang counti,5
oven degre,5
page book,5
patent office,5
peanut butter,5
phone call,5
pleas follow,5
pm everi,5
point rebound,5
presid barack,5
put back,5
realli get,5
realli just,5
realli like,5
realli make,5
right back,5
said didnt,5
said know,5
said statement,5
said tuesday,5
said will,5
saturday morn,5
saturday night,5
say “,5
start talk,5
state attorney,5
still love,5
super bowl,5
sure can,5
sure whi,5
sweet potato,5
take care,5
theyr go,5
thing like,5
think im,5
think onli,5
thud thud,5
time realli,5
time will,5
tri figur,5
turn around,5
two hour,5
understand whi,5
vice presid,5
walk away,5
want see,5
well known,5
will also,5
will bring,5
will find,5
will give,5
will meet,5
will need,5
will probabl,5
will put,5
will share,5
will tell,5
will work,5
year said,5
year sinc,5
– onli,4
’ go,4
’m sure,4
’s just,4
’ve tri,4
“ didn’t,4
” said,4
across countri,4
alreadi know,4
alway get,4
alway want,4
anyth can,4
associat press,4
attorney offic,4
attorney office,4
award winner,4
back school,4
bake minut,4
becaus im,4
becaus want,4
best deal,4
best part,4
best way,4
black white,4
bottom line,4
can also,4
can enjoy,4
can one,4
can still,4
can’t get,4
cant help,4
chang mind,4
citi offici,4
coffe shop,4
come across,4
come see,4
commit suicid,4
cooki sheet,4
couldnt find,4
counti prosecutor,4
coupl week,4
craft beer,4
day ago,4
day get,4
day later,4
day well,4
decid whether,4
didnt get,4
didnt know,4
domest violenc,4
dont forget,4
dont understand,4
dure day,4
either way,4
enjoy watch,4
enough money,4
everi one,4
fall love,4
famili love,4
farmer market,4
find way,4
first assist,4
first place,4
first quarter,4
first round,4
first step,4
first thing,4
first year,4
follow rule,4
fox new,4
free free,4
full day,4
get idea,4
get job,4
get start,4
get way,4
gift certif,4
give us,4
glad see,4
go go,4
go make,4
god god,4
good bad,4
got good,4
got think,4
hard hit,4
hard work,4
hes veri,4
home just,4
human right,4
im almost,4
import thing,4
includ one,4
ive alway,4
jesus christ,4
join leagu,4
just dont,4
just finish,4
just keep,4
just littl,4
just love,4
just make,4
just think,4
just tri,4
know im,4
know like,4
know will,4
last game,4
last minut,4
last one,4
last summer,4
last two,4
later day,4
like go,4
like say,4
like use,4
like well,4
liter dead,4
littl kid,4
long will,4
look good,4
lot peopl,4
lot thing,4
loui counti,4
love hear,4
love just,4
love littl,4
made clear,4
made use,4
make day,4
make happi,4
make mistak,4
mani thing,4
mani year,4
may think,4
men women,4
mental health,4
mile pm,4
million viewer,4
mm f,4
month later,4
month old,4
nation championship,4
ncaa tournament,4
near million,4
need go,4
need said,4
never get,4
new england,4
new thing,4
new year’,4
next one,4
now ’,4
now becaus,4
now just,4
now know,4
offici said,4
old friend,4
old man,4
one get,4
one week,4
oregon state,4
paper piec,4
peopl dont,4
percent last,4
place like,4
play well,4
pleas come,4
post offic,4
properti tax,4
provid inform,4
public school,4
question whether,4
read book,4
real life,4
reason whi,4
recent year,4
right thing,4
role play,4
said befor,4
said need,4
said team,4
said think,4
said want,4
say will,4
school year,4
see can,4
see new,4
see work,4
short stori,4
show us,4
southern california,4
spend time,4
spiritu path,4
spread word,4
state tournament,4
state univers,4
still look,4
stori one,4
superior court,4
tax increas,4
terrorist organ,4
th anniversari,4
thank love,4
thank mention,4
thank retweet,4
thing can,4
thing go,4
thing life,4
think ’,4
think peopl,4
thought id,4
time ago,4
time squar,4
time take,4
time think,4
time took,4
told us,4
took us,4
top three,4
trade center,4
tri chang,4
tri eat,4
tri find,4
two three,4
u can,4
us love,4
us much,4
us open,4
video game,4
wait till,4
wall street,4
want give,4
want know,4
want share,4
way peopl,4
wednesday night,4
week will,4
well just,4
whether go,4
whole thing,4
will allow,4
will alway,4
will becom,4
will begin,4
will caus,4
will come,4
will end,4
will keep,4
will receiv,4
will start,4
will strengthen,4
will tri,4
will use,4
will wait,4
without ani,4
world trade,4
write new,4
year year,4
yes can,4
york yanke,4
’ alway,3
’ better,3
’ like,3
’ plan,3
’ time,3
’ll get,3
’ll never,3
’ll see,3
’ll tri,3
’m afraid,3
’m glad,3
’m hope,3
’m sorri,3
’r go,3
“ ”,3
“ can’t,3
“ don’t,3
ab mat,3
across state,3
activ communic,3
actual make,3
actual pretti,3
aggrav assault,3
air condit,3
also found,3
also good,3
also love,3
also made,3
also make,3
also plan,3
american politician,3
ani time,3
ani way,3
anoth man,3
anoth one,3
another great,3
anyon els,3
anyth els,3
anyth everyth,3
anyth like,3
april th,3
around town,3
ask peopl,3
ask someth,3
ask whether,3
await sentenc,3
away home,3
aww thank,3
back “,3
back day,3
back insid,3
ball just,3
bay area,3
becaus love,3
becaus tomorrow,3
becaus total,3
befor come,3
befor start,3
believ will,3
bell pepper,3
best can,3
best player,3
better yet,3
big deal,3
big fan,3
big head,3
big question,3
big ten,3
billion feder,3
bit offic,3
block shot,3
blog post,3
blood pressur,3
board member,3
book read,3
book want,3
bottl beer,3
breast cancer,3
bring us,3
brother sister,3
brought back,3
busi week,3
buy new,3
can alway,3
can bring,3
can complet,3
can found,3
can give,3
can go,3
can happen,3
can keep,3
can legal,3
can pleas,3
can tell,3
can tri,3
can trust,3
cant stop,3
carolina windpool,3
carri illeg,3
cathol church,3
cell phone,3
central florida,3
central park,3
challeng make,3
championship team,3
check email,3
check phone,3
chief execut,3
child led,3
child support,3
children famili,3
chris christi,3
christi said,3
circuit court,3
climat chang,3
coffe cake,3
collect social,3
come along,3
come around,3
comment blog,3
commun colleg,3
communic unhind,3
complet differ,3
complet three,3
comput program,3
condit can,3
conspiraci theorist,3
cook minut,3
copi past,3
cost million,3
cost shift,3
couldnt get,3
counti attorney,3
coupl month,3
court document,3
craft store,3
cream sugar,3
creat job,3
creat love,3
credit card,3
current use,3
custom servic,3
cuyahoga counti,3
date april,3
david omand,3
day back,3
day christma,3
day dont,3
day earli,3
day feel,3
day last,3
day life,3
day like,3
day night,3
day one,3
day school,3
day spent,3
day year,3
de soto,3
decid go,3
decis made,3
deep fri,3
design team,3
desper housew,3
didn’t get,3
didn’t want,3
didnt even,3
differ place,3
differ thing,3
differ type,3
district attorney,3
doe ani,3
doe work,3
doesnt get,3
doesnt make,3
doesnt mean,3
dont buy,3
dont care,3
dont just,3
dont see,3
dont worri,3
downtown frederick,3
dr brown,3
dream come,3
earlier month,3
east coast,3
econom develop,3
emerg room,3
encourag peopl,3
end last,3
estat market,3
estim million,3
etc etc,3
even know,3
even think,3
ever play,3
everi minut,3
everi wednesday,3
everyon said,3
everyth goe,3
execut committe,3
explain whi,3
facebook page,3
famili farm,3
famili friend,3
far good,3
feel better,3
feel free,3
fell love,3
fell percent,3
fight scene,3
find inform,3
find will,3
finger toe,3
fire depart,3
first day,3
first four,3
first goal,3
first half,3
first three,3
first two,3
five six,3
follow person,3
follow see,3
follow us,3
food pantri,3
foot long,3
footbal basketbal,3
forgiv time,3
four day,3
four time,3
fourth quarter,3
french fri,3
friend famili,3
friend great,3
fund will,3
futur fell,3
game said,3
garlic clove,3
gener assembl,3
general manag,3
get anoth,3
get around,3
get best,3
get get,3
get home,3
get new,3
get peopl,3
get togeth,3
