terms,count
said,1832
one,1715
will,1685
like,1404
get,1388
time,1336
just,1309
can,1286
year,1224
make,1017
new,996
day,985
know,872
work,837
good,825
now,825
peopl,809
love,806
say,802
look,764
use,763
want,763
first,759
also,740
think,737
back,700
see,698
need,686
take,685
becaus,677
last,677
onli,676
thing,669
two,660
come,658
even,651
way,640
much,572
dont,570
realli,568
state,568
well,557
right,550
veri,532
tri,531
week,529
mani,527
start,527
call,524
befor,511
still,509
play,504
made,498
great,490
school,486
ani,484
help,477
littl,477
got,473
home,471
show,471
game,463
feel,455
life,451
live,451
thank,438
never,422
today,419
place,417
give,404
may,402
end,401
follow,393
friend,385
someth,382
next,380
around,379
book,375
find,374
world,374
citi,373
best,372
run,366
includ,365
three,362
team,353
everi,352
sinc,348
read,344
whi,344
point,343
let,338
famili,336
month,331
ask,330
big,330
put,330
alway,328
part,328
long,325
lot,325
night,325
hope,324
chang,321
hous,319
plan,317
person,312
anoth,308
talk,303
keep,301
season,301
busi,295
man,289
set,288
sure,282
better,280
seem,280
watch,280
tell,278
compani,277
head,277
final,271
high,271
stori,271
post,270
open,267
doe,266
thought,266
turn,265
report,262
million,261
mean,259
cant,258
don’t,257
move,257
differ,256
counti,255
second,254
came,252
might,249
offic,249
percent,248
dure,247
ever,247
job,245
name,245
happen,243
old,243
question,243
stop,243
word,243
top,241
didnt,240
hard,240
told,240
nation,237
away,236
though,236
write,235
found,233
happi,232
support,229
ive,227
hour,226
wait,226
went,226
care,225
hand,225
win,224
case,223
done,222
learn,222
without,222
believ,221
past,220
god,217
music,217
face,216
leav,214
took,213
becom,212
local,212
guy,210
money,209
line,208
public,208
interest,206
someon,206
children,205
cut,204
walk,204
enough,203
girl,203
kid,203
polic,203
build,202
group,202
ill,202
room,202
bit,201
idea,201
far,200
miss,199
share,198
student,198
yet,198
issu,197
servic,197
close,196
pretti,196
lol,195
morn,195
pay,195
law,194
mayb,194
blog,193
free,193
meet,193
bad,192
real,192
enjoy,190
offer,190
wonder,190
american,189
left,189
side,189
four,188
lead,188
actual,187
creat,187
minut,187
univers,187
area,186
continu,186
power,186
allow,185
water,185
food,184
hit,184
sever,184
least,183
kind,181
bring,180
countri,180
center,179
stay,179
fun,178
market,178
decid,177
possibl,177
women,177
cours,176
expect,176
must,176
program,176
alreadi,175
design,175
near,175
noth,175
project,175
recent,175
check,174
provid,174
presid,173
young,173
event,172
later,172
parti,172
pleas,172
beauti,171
challeng,171
receiv,171
everyth,170
probabl,170
visit,170
ago,169
court,169
experi,169
number,169
park,169
deal,168
small,168
yes,168
along,167
everyon,167
govern,167
record,167
white,167
five,166
onc,166
order,166
abl,165
car,165
card,165
serv,165
boy,164
fact,164
import,164
togeth,164
full,163
hes,163
anyth,162
finish,162
howev,162
mind,162
nice,162
complet,161
cover,161
drive,161
fall,161
manag,161
member,161
pass,161
product,160
weekend,160
sound,159
doesnt,158
late,158
player,158
problem,158
return,158
less,157
pick,157
hear,156
sometim,156
tonight,156
anyon,155
district,155
street,155
light,154
offici,154
reason,154
rememb,154
earli,152
tax,152
coupl,151
often,151
develop,150
fan,150
almost,148
class,148
clear,148
els,148
coach,147
cost,147
accord,146
board,145
film,145
friday,145
level,144
rule,144
inform,143
list,143
quit,143
sign,143
instead,142
perfect,142
pictur,142
sale,142
author,141
natur,141
vote,141
short,140
step,140
forc,139
mother,139
begin,138
hold,138
john,138
train,138
buy,137
consid,137
movi,137
communiti,136
heart,136
song,136
kill,135
score,135
store,135
former,134
seen,134
tomorrow,134
forward,133
goal,133
lost,133
men,133
parent,133
total,133
health,132
save,132
understand,132
whole,132
add,131
road,131
woman,131
die,130
larg,130
moment,130
system,130
wrong,130
base,129
bill,129
campaign,129
cool,129
increas,129
sit,129
charg,128
eat,128
spend,128
whether,128
air,127
black,127
certain,127
favorit,127
knew,127
organ,127
summer,127
half,126
piec,126
process,126
red,126
soon,126
special,126
TRUE,126
beer,125
major,125
babi,124
caus,124
north,124
rate,124
saturday,124
saw,124
stand,124
easi,123
news,123
rest,123
sunday,123
york,123
amaz,122
behind,122
matter,122
polit,122
readi,122
death,121
direct,121
fire,121
brown,120
color,120
listen,120
perform,120
price,120
remain,120
break,119
drop,119
green,119
note,119
third,119
depart,118
quick,118
child,117
current,117
respons,117
star,117
success,117
bodi,116
son,116
taken,116
act,115
either,115
focus,115
grow,115
photo,115
practic,115
releas,115
thursday,115
wish,115
across,114
decis,114
didn’t,114
mark,114
realiz,114
requir,114
seri,114
shot,114
strong,114
studi,114
colleg,113
exampl,113
excit,113
march,113
reach,113
dream,112
drink,112
mom,112
posit,112
site,112
within,112
beat,111
charact,111
comment,111
figur,111
given,111
obama,111
travel,111
twitter,111
video,111
among,110
effect,110
fight,110
serious,110
washington,110
fund,109
origin,109
phone,109
sens,109
answer,108
art,108
church,108
featur,108
felt,108
form,108
front,108
monday,108
avail,107
cook,107
lose,107
social,107
appear,106
bank,106
custom,106
eye,106
insid,106
result,106
sell,106
six,106
blue,105
histori,105
judg,105
shop,105
field,104
isnt,104
per,104
guess,103
hate,103
particular,103
race,103
teacher,103
futur,102
human,102
outsid,102
town,102
wear,102
’ve,101
awesom,101
join,101
south,101
sweet,101
age,100
email,100
fill,100
heard,100
page,100
research,100
view,100
definit,99
director,99
elect,99
round,99
speak,99
stuff,99
announc,98
detail,98
fit,98
leader,98
media,98
rais,98
relat,98
spot,98
surpris,98
test,98
theyr,98
whose,98
abov,97
april,97
concern,97
feder,97
review,97
trip,97
wednesday,97
date,96
dog,96
effort,96
main,96
publish,96
resid,96
tweet,96
wont,96
bar,95
choic,95
gone,95
oper,95
singl,95
usual,95
websit,95
agre,94
met,94
present,94
pull,94
ride,94
san,94
tuesday,94
celebr,93
execut,93
financi,93
simpl,93
addit,92
chanc,92
christma,92
educ,92
fail,92
held,92
known,92
rather,92
spring,92
term,92
averag,91
bed,91
began,91
fine,91
involv,91
push,91
space,91
action,90
collect,90
employe,90
goe,90
paper,90
prepar,90
send,90
sleep,90
attack,89
claim,89
discuss,89
gave,89
wife,89
’ll,88
investig,88
protect,88
yeah,88
although,87
mention,87
repres,87
republican,87
restaur,87
spent,87
ball,86
brother,86
fair,86
father,86
general,86
hell,86
industri,86
opportun,86
press,86
produc,86
tast,86
titl,86
west,86
activ,85
cultur,85
defens,85
door,85
interview,85
limit,85
unite,85
huge,84
land,84
link,84
mix,84
ohio,84
paint,84
secur,84
yard,84
account,83
apart,83
feet,83
toward,83
wasnt,83
confer,82
critic,82
dark,82
daughter,82
especi,82
loss,82
medic,82
roll,82
shes,82
cake,81
crazi,81
dinner,81
doesn’t,81
garden,81
jersey,81
led,81
match,81
remov,81
role,81
war,81
weve,81
